taxonomy,Thr_D,Trp_D,His_D,Pro_D,Met_D,Lys_D
Butyricimonas phoceensis,1,1,1,0,0,1
Bacteroides fluxus,1,1,1,0,0,0
Victivallis vadensis,0,0,0,0,0,0
Harryflintia acetispora,0,0.0297,0,0,0,0
Lacticaseibacillus casei/paracasei/zeae,0,0,0,0,0,0
Hungatella hathewayi/Blautia schinkii/Cuneatibacter caecimuris/Hungatella effluvii/Hungatella xylanolytica,0.25,0.1667,0.1667,0,0,0
Casaltella massiliensis,0,0.5,0.5,0,0,1
Oxalobacter formigenes,0,0.2065,0,0,0,0
Lacrimispora xylanolytica/Lachnoclostridium pacaense/Lacrimispora saccharolytica/Lacrimispora indolis/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans/Lacrimispora sphenoides/Lacrimispora algidixylanolytica/Lacrimispora celerecrescens,0.9908,0.0069,0.0046,0,0,0
Ruminococcus champanellensis/Solibaculum mannosilyticum/Ruminococcus callidus/Anaerotruncus rubiinfantis/[Clostridium] methylpentosum,0,0,0,0,0.1797,0
Clostridium septicum,0,0,0,0,0,0
Gemella haemolysans/morbillorum/parahaemolysans/sanguinis/taiwanensis,0,0,0,0,0,0
Lusitaniella coriacea/Capilliphycus flaviceps/Capilliphycus tropicalis/Arthrospira platensis/Neolyngbya tenuis/Neolyngbya irregularis/Capilliphycus guerandensis/Hillbrichtia pamiria/Leucobacter chromiiresistens/Jaaginema litorale/Capilliphycus salinus/Cyanobacterium aponinum/Planktothrix tepida/Baaleninema simplex/Pleurocapsa minor/Odorella benthonica/Leucobacter alluvii/Porphyrosiphon annulatus/Affixifilum granulosum/Neolyngbya maris-brasilis/Pleurocapsa fuliginosa/Limnoraphis robusta/Neolyngbya arenicola/Lyngbya aestuarii,0,0,0,0,0,0
Anaerococcus senegalensis,0,1,0,0,1,0
Lawsonibacter asaccharolyticus/Intestinimonas butyriciproducens/Pseudoflavonifractor phocaeensis,0,0,0,0,0,0.8082
Oceanobacillus indicireducens,1,0.5,0.5,1,0.5,0
Blautia luti/Murimonas intestini,0.062,0.1999,0.3424,0,0,0
Longicatena caecimuris,0,0,0,0,0,0
Hungatella effluvii,0,0.001,0,0,0,0
Lacticaseibacillus rhamnosus,0,0.1113,0.1113,0,0,0
Corynebacterium tuberculostearicum,0,0,1,1,0,0
Prevotella dentalis/Massiliprevotella massiliensis/Hallella seregens/Prevotella colorans/Prevotella oris,0,0,0,0,0,0
Bacteroides gallinaceum,1,0.9,0.9,0,0,0
Clostridium acetireducens/botulinum/combesii/sporogenes/tepidum/vulturis,0,1,0,0,1,0
Anaerotruncus colihominis,0,1,0,0,0,0
Eggerthella lenta,0,0,0,0,0,0
Lactobacillus amylovorus/ultunensis,0,0,0,0,0,0
Sporobacter termitidis/Colidextribacter massiliensis,0,0,0.0015,0,0.9985,0
[Clostridium] symbiosum,0,0,1,0,0,0
Haemophilus pittmaniae,0,0.5,0,1,0,0
Ligilactobacillus ruminis,0,0,0,0,0,0
Blautia hansenii/hominis/marasmi,0,0.5,1,0,0,0
Lawsonibacter asaccharolyticus/Intestinimonas butyriciproducens/Pseudoflavonifractor phocaeensis/Sporobacter termitidis/Colidextribacter massiliensis,0,0,0,0,0,1
Hungatella hathewayi/Kineothrix alysoides/Merdimonas faecis,0.375,0.125,0.25,0,0,0
Veillonella atypica,0,0,0,0,0,0
Lancefieldella parvula,0,0,0,0,0,0
Faecalicoccus acidiformans,0,0,0,0,0,0
Anaerotaenia torta/Anaerostipes hadrus/Anaerobium acetethylicum/[Clostridium] populeti/Variimorphobacter saccharofermentans/Mobilitalea sibirica/Anaerocolumna cellulosilytica/Herbinix hemicellulosilytica/Lachnotalea glycerini/Herbinix luporum,0,0,0,0,0,0
Mitsuokella jalaludinii,0,0,0,0,0,0
Mitsuokella multacida,0,0,0,0,0,0
Agathobacter ruminis/Falcatimonas natans/Roseburia intestinalis/Butyribacter intestini/Pseudobutyrivibrio ruminis/Roseburia hominis/Eubacterium ramulus/[Eubacterium] rectale/Muricomes intestini/Roseburia faecis/Faecalicatena orotica,0,0,0,0,0,1
Desulfovibrio desulfuricans/intestinalis/legallii/simplex,0,0,0,0,0,0
Oribacterium sinus/Enterocloster clostridioformis/Lachnoclostridium pacaense/Enterocloster bolteae/Lacrimispora indolis/Lacrimispora amygdalina/[Clostridium] methoxybenzovorans/Enterocloster aldenensis,0,0,0,0,0,0
Peptoniphilus lacrimalis,0,0,1,0,0,0
Phocaeicola barnesiae,1,0,0,0,0,0
Acetivibrio cellulolyticus/Sporobacter termitidis,0,0,0,0,1,0
Sporobacter termitidis/Flintibacter butyricus,0,0,0,0,1,0
Lachnoclostridium pacaense/Hungatella effluvii,0.25,0.25,0,0,0,0
Sporosarcina aquimarina/koreensis/luteola/newyorkensis/saromensis/ureae,1,1,1,1,1,0
Lactiplantibacillus argentoratensis/Lactiplantibacillus plantarum/Latilactobacillus graminis/Agrilactobacillus composti/Lactiplantibacillus paraplantarum/Lactiplantibacillus fabifermentans/Latilactobacillus fuchuensis/Lactiplantibacillus pentosus,0,0,0,0,0,0
Blautia faecis/luti/schinkii/stercoris,0,0.1667,0,0,0,0
Anaerotignum aminivorans/faecicola/neopropionicum/propionicum,1,0,0,0,1,0
Emergencia timonensis/Ihubacter massiliensis/[Eubacterium] saphenum/Sinanaerobacter chloroacetimidivorans,0.25,0.5,0.25,0,0,0.5
Ruminococcus flavefaciens,0,0,0,0,0,0
Ruminococcus champanellensis/Acetivibrio thermocellus/Ruminococcus flavefaciens/Anaeromassilibacillus senegalensis/Acetivibrio clariflavus/Tepidibaculum saccharolyticum/[Clostridium] viride/Ruminococcus albus/Defluviitalea saccharophila/Ruminococcus callidus/Defluviitalea raffinosedens/Monoglobus pectinilyticus/Acutalibacter muris/Caproicibacter fermentans/Anaerostipes caccae/Eubacterium ruminantium/Anaerotruncus colihominis/Papillibacter cinnamivorans,0,0,0,0,0,0
Murimonas intestini/Blautia obeum,0,0.1516,0,0,0,0
[Clostridium] innocuum,0,0,0,0,0,0
Serratia marcescens/nematodiphila/surfactantfaciens,1,1,1,1,1,0
Acetivibrio cellulolyticus/Sporobacter termitidis/[Clostridium] viride,0,0,0,0,1,0
Oribacterium sinus,0,1,0,0,0,0
Blautia argi,0,0.0035,0.0081,0,0,0
Sporosarcina pasteurii/siberiensis/terrae,0.6667,0.56,0.6712,1,0.7823,0.3378
Bifidobacterium angulatum/merycicum,0,0,0,0,0,0
Faecalimonas umbilicata,1,1,0,0,0,0
Pseudogracilibacillus marinus,0.5,0.5,0.5,0.5,0.5,0
Corynebacterium coyleae/ihumii/mucifaciens/pilbarense,0,0,0.375,0.625,0.125,0
Butyricimonas faecihominis/paravirosa/phoceensis,1,1,1,0,0,1
Longibaculum muris,0,0,0,0,0,0
Anaerobium acetethylicum/Parasporobacterium paucivorans,0,0,0,0,0,0
Desulfovibrio legallii,0,0,0,0,0,0
Prevotella jejuni,1,0,1,0,0,0
Bacteroides rodentium,1,1,1,0,0,0
Lactobacillus gasseri/hominis/johnsonii/taiwanensis,0,0,0,0,0,0
Prevotella buccae/Prevotella marshii/Prevotella shahii/Prevotella enoeca/Prevotella salivae/Marseilla massiliensis/Prevotella timonensis/Prevotella stercorea/Prevotella paludivivens/Prevotella bryantii/Prevotella copri/Prevotella albensis/Prevotella saccharolytica/Prevotella ihumii/Prevotellamassilia timonensis/Prevotella oralis/Prevotella oris/Metaprevotella massiliensis,1,1,1,0,0,0
Blautia hansenii/Falcatimonas natans/Lachnoclostridium pacaense/Blautia hominis/Blautia coccoides/Fusicatenibacter saccharivorans/Lacrimispora indolis/Blautia argi/[Ruminococcus] lactaris/Blautia producta/Murimonas intestini/Blautia luti/Blautia faecis/Blautia marasmi/Blautia stercoris,0.0667,0.2667,0.5333,0,0,0
Faecalicatena orotica,0.806,0.4712,0,0,0,0.0368
Weissella bombi/cibaria/confusa/hellenica/sagaensis,0,0,0,0,0,0
Fusobacterium equinum,0,1,1,0,1,1
Oscillibacter valericigenes/Dysosmobacter welbionis/Oscillibacter ruminantium,0,0,0.9975,0,0.9975,0
Eubacterium oxidoreducens/Butyribacter intestini,0.0267,0.0089,0,0,0,0
Agathobacter ruminis/Roseburia intestinalis/Pseudobutyrivibrio ruminis/Eubacterium ramulus/Roseburia hominis/[Eubacterium] rectale/Roseburia faecis/Faecalicatena orotica/Pseudobutyrivibrio xylanivorans,0,0,0,0,0,1
Blautia glucerasea,0,0.0996,0,0,0,0
Sarcina ventriculi,0,0,0,0,0.3333,0
Bacteroides caecicola,0.5,0,0,0,0,0
Pseudoflavonifractor capillosus/Pseudoflavonifractor phocaeensis/Flintibacter butyricus,0,0,1,0,0,0
Cloacibacillus evryensis,1,0,1,0,0,0
Butyricicoccus pullicaecorum/Intestinibacillus massiliensis/Agathobaculum desmolans,0,0,0,0,0,0
Veillonella ratti/seminalis,0,0,1,0,1,0
[Clostridium] saccharogumia,0,0,0,0,0,0
Leptotrichia wadei,0,0,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,0,0
[Clostridium] scindens,1,0,0,0,0,0
Oscillibacter valericigenes/Sporobacter termitidis/Monoglobus pectinilyticus/Oscillibacter ruminantium/Acetivibrio cellulolyticus,0,0,0.5,0,1,0
Butyricimonas virosa,1,1,1,0,0,1
Bacteroides caecigallinarum,0.5792,0,0.4501,0.4501,0,0
Acinetobacter septicus/ursingii,0,0,0,1,0,0
Leptotrichia shahii/Leptotrichia buccalis/Leptotrichia hofstadii/Leptotrichia trevisanii/Leptotrichia hongkongensis/Pseudoleptotrichia goodfellowii/Leptotrichia wadei,0,0,0,0,0,0
Parabacteroides gordonii,1,0,1,0,0,0
Comamonas jiangduensis/kerstersii/terrae,0,1,1,1,0,0
Enterocloster aldenensis,1,1,0,0,0,0
Faecalicatena orotica/Lachnobacterium bovis,0,0,0,0,0,0
Acutalibacter muris/Neglectibacter timonensis/Ruminococcoides bili/Ruminococcus bromii,0,0,0,0,0.5,0
Hungatella hathewayi/Frisingicoccus caecimuris/Hungatella effluvii,0.25,0.125,0.25,0,0,0
Bacteroides caccae/Bacteroides intestinalis/Alloprevotella rava,1,0,1,0,0,0
Ruthenibacterium lactatiformans/Fournierella massiliensis,0.2,0,0,0,0,0
Stenotrophomonas geniculata/maltophilia/pavanii,1,1,1,1,0,0
Tepidibaculum saccharolyticum/Ruminococcus albus,0,0,0,0,0,0
Sellimonas intestinalis/Drancourtella massiliensis,1,0,0,0,0,0
